,cs_id_100,100,cs_id_200,200,cs_id_300,300,cs_id_358,358,cs_id_966,966,cluster_size
99,,,ENSG00000143631_L1_200,17,ENSG00000143631_L1_300,12,ENSG00000143631_L1_358,11,ENSG00000143631_L1_966,6,4.0
100,,,ENSG00000163216_L1_200,143,ENSG00000163216_L1_300,123,ENSG00000163216_L1_358,122,ENSG00000163216_L1_966,146,4.0
101,,,ENSG00000143578_L1_200,69,,,,,ENSG00000143578_L1_966,36,2.0
102,,,ENSG00000143575_L1_200,10,ENSG00000143575_L1_300,9,ENSG00000143575_L1_358,9,ENSG00000143575_L1_966,8,4.0
103,,,ENSG00000237301_L1_200,52,ENSG00000237301_L1_300,107,ENSG00000237301_L1_358,98,ENSG00000237301_L1_966,35,4.0
104,,,ENSG00000116771_L1_200,55,ENSG00000116771_L1_300,55,ENSG00000116771_L1_358,56,ENSG00000116771_L1_966,53,4.0
105,,,ENSG00000169231_L1_200,3,ENSG00000169231_L1_300,3,ENSG00000169231_L1_358,1,ENSG00000169231_L1_966,1,4.0
106,,,ENSG00000160781_L1_200,38,ENSG00000160781_L1_300,34,ENSG00000160781_L1_358,30,ENSG00000160781_L1_966,19,4.0
107,,,ENSG00000187862_L1_200,33,ENSG00000187862_L1_300,24,ENSG00000187862_L1_358,1,ENSG00000187862_L1_966,1,4.0
108,,,ENSG00000143319_L1_200,17,ENSG00000143319_L1_300,13,ENSG00000143319_L1_358,14,ENSG00000143319_L1_966,15,4.0
109,,,ENSG00000162461_L1_200,13,ENSG00000162461_L1_300,15,ENSG00000162461_L1_358,15,ENSG00000162461_L1_966,12,4.0
110,,,ENSG00000160856_L1_200,4,ENSG00000160856_L1_300,4,ENSG00000160856_L1_358,4,ENSG00000160856_L1_966,4,4.0
111,,,ENSG00000163568_L1_200,26,ENSG00000163568_L1_300,22,ENSG00000163568_L1_358,21,ENSG00000163568_L1_966,19,4.0
112,,,ENSG00000162735_L1_200,52,ENSG00000162735_L1_300,78,ENSG00000162735_L1_358,59,ENSG00000162735_L1_966,47,4.0
113,,,ENSG00000162739_L1_200,5,,,,,ENSG00000162739_L1_966,4,2.0
114,,,,,,,ENSG00000162739_L1_358,48,,,1.0
115,,,ENSG00000066294_L1_200,49,ENSG00000066294_L1_300,32,ENSG00000066294_L1_358,30,ENSG00000066294_L1_966,16,4.0
116,,,ENSG00000026751_L1_200,14,ENSG00000026751_L1_300,9,ENSG00000026751_L1_358,11,ENSG00000026751_L1_966,6,4.0
117,,,ENSG00000122224_L1_200,23,,,,,,,1.0
118,,,ENSG00000122223_L1_200,25,ENSG00000122223_L1_300,15,ENSG00000122223_L1_358,16,ENSG00000122223_L1_966,17,4.0
119,,,ENSG00000234211_L1_200,5,ENSG00000234211_L1_300,2,ENSG00000234211_L1_358,2,ENSG00000234211_L1_966,1,4.0
120,,,ENSG00000081721_L1_200,39,ENSG00000081721_L1_300,28,ENSG00000081721_L1_358,32,ENSG00000081721_L1_966,26,4.0
121,,,ENSG00000132196_L1_200,9,ENSG00000132196_L1_300,9,ENSG00000132196_L1_358,9,ENSG00000132196_L1_966,12,4.0
122,,,ENSG00000143248_L1_200,41,ENSG00000143248_L1_300,44,ENSG00000143248_L1_358,41,ENSG00000143248_L1_966,38,4.0
123,,,ENSG00000232995_L1_200,51,ENSG00000232995_L1_300,44,ENSG00000232995_L1_358,41,ENSG00000232995_L1_966,40,4.0
124,,,ENSG00000226029_L1_200,3,ENSG00000226029_L1_300,4,ENSG00000226029_L1_358,3,ENSG00000226029_L1_966,1,4.0
125,,,ENSG00000143149_L1_200,1,ENSG00000143149_L1_300,1,ENSG00000143149_L1_358,1,ENSG00000143149_L1_966,1,4.0
126,,,ENSG00000224358_L1_200,46,ENSG00000224358_L1_300,44,ENSG00000224358_L1_358,45,ENSG00000224358_L1_966,38,4.0
127,,,ENSG00000143194_L1_200,7,ENSG00000143194_L1_300,9,ENSG00000143194_L1_358,4,ENSG00000143194_L1_966,5,4.0
128,,,ENSG00000198771_L1_200,2,,,,,ENSG00000198771_L1_966,2,2.0
129,,,ENSG00000197965_L1_200,2,ENSG00000197965_L1_300,2,ENSG00000197965_L1_358,2,ENSG00000197965_L1_966,2,4.0
130,,,ENSG00000143147_L1_200,39,ENSG00000143147_L1_300,47,ENSG00000143147_L1_358,23,ENSG00000143147_L1_966,26,4.0
131,,,ENSG00000219481_L1_200,3,ENSG00000219481_L1_300,2,ENSG00000219481_L1_358,2,ENSG00000219481_L1_966,2,4.0
132,,,ENSG00000238142_L1_200,15,,,,,,,1.0
133,,,ENSG00000159363_L1_200,1,ENSG00000159363_L1_300,3,ENSG00000159363_L1_358,1,ENSG00000159363_L1_966,2,4.0
134,,,ENSG00000010165_L1_200,17,,,,,ENSG00000010165_L1_966,16,2.0
135,,,ENSG00000231050_L1_200,2,ENSG00000231050_L1_300,2,ENSG00000231050_L1_358,2,ENSG00000231050_L1_966,25,4.0
136,,,ENSG00000237292_L1_200,1,ENSG00000237292_L1_300,1,ENSG00000237292_L1_358,1,ENSG00000237292_L1_966,1,4.0
137,,,ENSG00000198216_L1_200,25,ENSG00000198216_L1_300,24,ENSG00000198216_L1_358,24,ENSG00000198216_L1_966,24,4.0
138,,,ENSG00000198860_L1_200,10,,,,,,,1.0
139,,,ENSG00000116679_L1_200,33,ENSG00000116679_L1_300,29,ENSG00000116679_L1_358,17,ENSG00000116679_L1_966,4,4.0
140,,,ENSG00000127463_L1_200,18,ENSG00000127463_L1_300,12,ENSG00000127463_L1_358,8,ENSG00000127463_L1_966,6,4.0
141,,,ENSG00000053372_L1_200,13,ENSG00000053372_L1_300,13,ENSG00000053372_L1_358,13,ENSG00000053372_L1_966,11,4.0
142,,,ENSG00000053371_L1_200,1,ENSG00000053371_L1_300,2,ENSG00000053371_L1_358,1,ENSG00000053371_L1_966,1,4.0
143,,,ENSG00000118197_L1_200,15,ENSG00000118197_L1_300,15,ENSG00000118197_L1_358,15,ENSG00000118197_L1_966,14,4.0
144,,,ENSG00000159166_L1_200,2,ENSG00000159166_L1_300,8,ENSG00000159166_L1_358,7,ENSG00000159166_L1_966,1,4.0
145,,,ENSG00000282221_L1_200,12,ENSG00000282221_L1_300,11,ENSG00000282221_L1_358,10,ENSG00000282221_L1_966,4,4.0
146,,,ENSG00000134369_L1_200,40,ENSG00000134369_L1_300,40,ENSG00000134369_L1_358,45,ENSG00000134369_L1_966,19,4.0
147,,,ENSG00000117153_L1_200,1,ENSG00000117153_L1_300,1,ENSG00000117153_L1_358,1,ENSG00000117153_L1_966,2,4.0
148,,,ENSG00000133048_L1_200,1,ENSG00000133048_L1_300,1,ENSG00000133048_L1_358,1,ENSG00000133048_L1_966,1,4.0
149,,,ENSG00000233791_L1_200,6,ENSG00000233791_L1_300,1,ENSG00000233791_L1_358,1,ENSG00000233791_L1_966,1,4.0
150,,,ENSG00000117222_L1_200,1,,,,,,,1.0
151,,,ENSG00000117280_L1_200,22,ENSG00000117280_L1_300,22,ENSG00000117280_L1_358,24,ENSG00000117280_L1_966,12,4.0
152,,,ENSG00000261000_L1_200,17,ENSG00000261000_L1_300,22,ENSG00000261000_L1_358,13,ENSG00000261000_L1_966,15,4.0
153,,,ENSG00000076356_L1_200,11,ENSG00000076356_L1_300,19,,,ENSG00000076356_L1_966,9,3.0
154,,,ENSG00000203705_L1_200,75,ENSG00000203705_L1_300,83,ENSG00000203705_L1_358,84,ENSG00000203705_L1_966,104,4.0
155,,,ENSG00000067533_L1_200,6,ENSG00000067533_L1_300,5,ENSG00000067533_L1_358,5,ENSG00000067533_L1_966,4,4.0
156,,,ENSG00000143353_L1_200,52,ENSG00000143353_L1_300,23,ENSG00000143353_L1_358,24,ENSG00000143353_L1_966,22,4.0
157,,,ENSG00000218510_L1_200,6,ENSG00000218510_L1_300,40,ENSG00000218510_L1_358,29,ENSG00000218510_L1_966,5,4.0
158,,,ENSG00000117791_L1_200,36,ENSG00000117791_L1_300,3,,,ENSG00000117791_L1_966,3,3.0
159,,,ENSG00000186205_L1_200,29,ENSG00000186205_L1_300,23,ENSG00000186205_L1_358,19,,,3.0
160,,,ENSG00000182827_L1_200,28,,,ENSG00000182827_L1_358,24,,,2.0
161,,,ENSG00000185155_L1_200,39,ENSG00000185155_L1_300,37,ENSG00000185155_L1_358,37,ENSG00000185155_L1_966,36,4.0
162,,,,,ENSG00000119280_L1_300,20,ENSG00000119280_L1_358,20,,,2.0
163,,,ENSG00000119280_L1_200,12,,,,,,,1.0
164,,,ENSG00000173409_L1_200,55,ENSG00000173409_L1_300,78,ENSG00000173409_L1_358,51,,,3.0
165,,,ENSG00000231663_L1_200,29,ENSG00000231663_L1_300,25,ENSG00000231663_L1_358,24,ENSG00000231663_L1_966,10,4.0
166,,,ENSG00000224939_L1_200,1,ENSG00000224939_L1_300,1,ENSG00000224939_L1_358,1,ENSG00000224939_L1_966,1,4.0
167,,,ENSG00000230628_L1_200,24,ENSG00000230628_L1_300,20,ENSG00000230628_L1_358,16,ENSG00000230628_L1_966,11,4.0
168,,,ENSG00000237520_L1_200,21,ENSG00000237520_L1_300,21,ENSG00000237520_L1_358,21,ENSG00000237520_L1_966,15,4.0
169,,,ENSG00000086619_L1_200,57,ENSG00000086619_L1_300,55,ENSG00000086619_L1_358,55,ENSG00000086619_L1_966,94,4.0
170,,,ENSG00000149527_L1_200,6,ENSG00000149527_L1_300,6,ENSG00000149527_L1_358,6,ENSG00000149527_L1_966,3,4.0
171,,,ENSG00000185436_L1_200,2,ENSG00000185436_L1_300,1,ENSG00000185436_L1_358,1,ENSG00000185436_L1_966,1,4.0
172,,,ENSG00000272195_L1_200,48,ENSG00000272195_L1_300,48,ENSG00000272195_L1_358,47,ENSG00000272195_L1_966,41,4.0
173,,,ENSG00000197472_L1_200,16,ENSG00000197472_L1_300,1,ENSG00000197472_L1_358,4,ENSG00000197472_L1_966,1,4.0
174,,,ENSG00000277462_L1_200,13,ENSG00000277462_L1_300,16,ENSG00000277462_L1_358,14,ENSG00000277462_L1_966,12,4.0
175,,,ENSG00000196539_L1_200,160,ENSG00000196539_L1_300,146,ENSG00000196539_L1_358,97,ENSG00000196539_L1_966,5,4.0
176,,,ENSG00000188672_L1_200,168,ENSG00000188672_L1_300,116,ENSG00000188672_L1_358,133,ENSG00000188672_L1_966,69,4.0
177,,,ENSG00000157978_L1_200,2,ENSG00000157978_L1_300,2,ENSG00000157978_L1_358,2,ENSG00000157978_L1_966,2,4.0
178,,,ENSG00000157873_L1_200,33,ENSG00000157873_L1_300,22,ENSG00000157873_L1_358,36,ENSG00000157873_L1_966,22,4.0
179,,,ENSG00000117640_L1_200,1,ENSG00000117640_L1_300,13,ENSG00000117640_L1_358,1,ENSG00000117640_L1_966,1,4.0
180,,,ENSG00000130768_L1_200,31,ENSG00000130768_L1_300,29,ENSG00000130768_L1_358,29,ENSG00000130768_L1_966,27,4.0
181,,,ENSG00000204138_L1_200,250,ENSG00000204138_L1_300,187,ENSG00000204138_L1_358,188,ENSG00000204138_L1_966,183,4.0
